"","Photo","gs","Starch","NSC","SM","fluor","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10"
"104","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","0.000","-1","-1","1","0","1","0","-1","0","1","0"
"105","[-4.07,0.638]","(0.142,0.274]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","0.000","-1","-1","1","0","1","1","-1","1","1","0"
"106","[-4.07,0.638]","(0.142,0.274]","[1.89,21.1]","(2.29,3.3]","(20.7,29.6]","0.000","-1","0","1","0","1","1","0","1","1","1"
"107","[-4.07,0.638]","(0.142,0.274]","(21.1,40.1]","(2.29,3.3]","(38.4,47.2]","0.000","-1","0","1","1","1","1","0","1","1","1"
"108","[-4.07,0.638]","(0.142,0.274]","(21.1,40.1]","[0.254,1.27]","(29.6,38.4]","0.000","0","1","1","1","1","1","0","1","1","1"
"133","[-4.07,0.638]","(0.142,0.274]","(59.2,78.3]","(2.29,3.3]","(20.7,29.6]","0.000","-1","-1","-1","-1","-1","0","-1","-1","-1","-1"
"134","[-4.07,0.638]","[0.00895,0.142]","(40.1,59.2]","(2.29,3.3]","(20.7,29.6]","0.000","-1","-1","-1","-1","-1","0","-1","0","-1","-1"
"135","[-4.07,0.638]","[0.00895,0.142]","(40.1,59.2]","(2.29,3.3]","(20.7,29.6]","0.000","-1","-1","0","-1","-1","1","-1","0","-1","0"
"136","[-4.07,0.638]","[0.00895,0.142]","(59.2,78.3]","(2.29,3.3]","(20.7,29.6]","0.000","-1","-1","0","-1","0","1","0","1","-1","0"
"137","[-4.07,0.638]","(0.142,0.274]","(21.1,40.1]","(1.27,2.29]","(20.7,29.6]","0.000","-1","0","0","-1","0","1","0","1","-1","0"
"138","[-4.07,0.638]","[0.00895,0.142]","(59.2,78.3]","(2.29,3.3]","(20.7,29.6]","0.000","-1","0","0","-1","0","1","0","1","-1","0"
